64 161
0 1 93
0 8 321
0 9 241
1 2 421
1 9 317
1 10 441
2 3 72
2 10 46
2 11 306
3 4 169
3 11 180
3 12 375
4 5 68
4 12 19
4 13 500
5 6 381
5 13 116
5 14 435
6 7 126
6 14 270
6 15 8
7 15 45
8 9 279
8 16 307
8 17 134
9 10 248
9 17 116
9 18 462
10 11 97
10 18 196
10 19 353
11 12 437
11 19 263
11 20 94
12 13 103
12 20 79
12 21 281
13 14 175
13 21 372
13 22 86
14 15 90
14 22 51
14 23 207
15 23 159
16 17 206
16 24 286
16 25 318
17 18 387
17 25 412
17 26 434
18 19 396
18 26 457
18 27 203
19 20 421
19 27 9
19 28 83
20 21 415
20 28 125
20 29 45
21 22 11
21 29 67
21 30 144
22 23 194
22 30 330
22 31 238
23 31 298
24 25 18
24 32 219
24 33 155
25 26 351
25 33 310
25 34 27
26 27 57
26 34 215
26 35 325
27 28 9
27 35 0
27 36 142
28 29 397
28 36 158
28 37 76
29 30 38
29 37 114
29 38 25
30 31 205
30 38 370
30 39 109
31 39 119
32 33 401
32 40 378
32 41 496
33 34 44
33 41 71
33 42 62
34 35 29
34 42 115
34 43 393
35 36 294
35 43 335
35 44 294
36 37 145
36 44 391
36 45 321
37 38 449
37 45 105
37 46 146
38 39 459
38 46 352
38 47 34
39 47 101
40 41 357
40 48 386
40 49 9
41 42 383
41 49 90
41 50 370
42 43 238
42 50 209
42 51 239
43 44 138
43 51 333
43 52 481
44 45 429
44 52 151
44 53 43
45 46 458
45 53 266
45 54 182
46 47 252
46 54 347
46 55 222
47 55 143
48 49 43
48 56 91
48 57 237
49 50 436
49 57 49
49 58 88
50 51 470
50 58 397
50 59 186
51 52 327
51 59 282
51 60 442
52 53 456
52 60 372
52 61 57
53 54 193
53 61 328
53 62 297
54 55 77
54 62 407
54 63 23
55 63 5
56 57 66
57 58 57
58 59 464
59 60 495
60 61 70
61 62 462
62 63 217
