100 261
0 1 2
0 10 9997
0 11 9998
1 2 5
1 11 9998
1 12 8
2 3 5
2 12 9998
2 13 1
3 4 10000
3 13 1
3 14 9999
4 5 1
4 14 5000
4 15 2
5 6 10000
5 15 10000
5 16 5
6 7 2
6 16 5000
6 17 9999
7 8 9998
7 17 8
7 18 5
8 9 1
8 18 2
8 19 8
9 19 9999
10 11 3
10 20 5000
10 21 5
11 12 2
11 21 9998
11 22 9998
12 13 2
12 22 5
12 23 3
13 14 9998
13 23 3
13 24 5
14 15 10000
14 24 5
14 25 2
15 16 10000
15 25 5000
15 26 9997
16 17 5000
16 26 8
16 27 9999
17 18 5
17 27 9999
17 28 5
18 19 9998
18 28 9998
18 29 5
19 29 2
20 21 8
20 30 9997
20 31 2
21 22 9997
21 31 2
21 32 2
22 23 5
22 32 1
22 33 1
23 24 1
23 33 9998
23 34 3
24 25 2
24 34 5
24 35 3
25 26 9999
25 35 5
25 36 9998
26 27 3
26 36 10000
26 37 5000
27 28 5000
27 37 2
27 38 9998
28 29 5000
28 38 5000
28 39 9998
29 39 9999
30 31 9998
30 40 9997
30 41 9997
31 32 9997
31 41 10000
31 42 8
32 33 10000
32 42 9999
32 43 9998
33 34 2
33 43 9999
33 44 2
34 35 9999
34 44 5000
34 45 2
35 36 5000
35 45 9997
35 46 5
36 37 5
36 46 9997
36 47 3
37 38 3
37 47 5
37 48 9999
38 39 9999
38 48 2
38 49 5000
39 49 3
40 41 9997
40 50 2
40 51 3
41 42 5000
41 51 8
41 52 10000
42 43 2
42 52 1
42 53 2
43 44 8
43 53 9999
43 54 10000
44 45 3
44 54 5
44 55 5000
45 46 1
45 55 9997
45 56 9997
46 47 5000
46 56 1
46 57 9999
47 48 5000
47 57 9997
47 58 9999
48 49 5000
48 58 9997
48 59 5
49 59 3
50 51 9997
50 60 3
50 61 5
51 52 1
51 61 5
51 62 3
52 53 3
52 62 8
52 63 10000
53 54 1
53 63 8
53 64 9999
54 55 8
54 64 2
54 65 9997
55 56 9997
55 65 2
55 66 2
56 57 9997
56 66 8
56 67 8
57 58 10000
57 67 8
57 68 10000
58 59 5
58 68 5000
58 69 3
59 69 10000
60 61 3
60 70 1
60 71 2
61 62 10000
61 71 9998
61 72 1
62 63 9997
62 72 3
62 73 9998
63 64 5000
63 73 9997
63 74 2
64 65 8
64 74 9999
64 75 8
65 66 9999
65 75 5000
65 76 10000
66 67 1
66 76 3
66 77 9997
67 68 5
67 77 5000
67 78 10000
68 69 1
68 78 10000
68 79 8
69 79 5
70 71 9997
70 80 2
70 81 5
71 72 10000
71 81 9999
71 82 1
72 73 9997
72 82 10000
72 83 10000
73 74 10000
73 83 2
73 84 2
74 75 8
74 84 8
74 85 9999
75 76 5000
75 85 9998
75 86 9998
76 77 9998
76 86 9997
76 87 9999
77 78 1
77 87 10000
77 88 9998
78 79 5
78 88 5
78 89 9999
79 89 5
80 81 2
80 90 5
80 91 2
81 82 8
81 91 2
81 92 9998
82 83 5
82 92 8
82 93 9998
83 84 9997
83 93 5
83 94 9999
84 85 9998
84 94 2
84 95 9997
85 86 3
85 95 9998
85 96 1
86 87 10000
86 96 1
86 97 2
87 88 2
87 97 9997
87 98 3
88 89 9999
88 98 1
88 99 8
89 99 2
90 91 2
91 92 5
92 93 2
93 94 5000
94 95 2
95 96 1
96 97 1
97 98 2
98 99 9999
