70 777
0 4 450
0 6 18
0 15 303
0 16 137
0 21 22
0 22 597
0 34 491
0 37 873
0 38 541
0 41 700
0 53 575
0 61 195
0 65 48
1 2 650
1 3 516
1 8 152
1 18 300
1 28 684
1 29 342
1 31 198
1 37 400
1 38 738
1 40 41
1 41 597
1 45 66
1 47 794
1 50 37
1 55 972
1 58 663
1 60 463
1 63 790
1 66 873
2 12 656
2 27 427
2 29 119
2 34 554
2 36 908
2 37 80
2 39 606
2 57 659
2 59 295
2 60 662
2 61 105
2 62 547
2 65 363
2 67 626
3 0 72
3 17 173
3 26 774
3 32 752
3 45 74
3 48 62
3 56 307
3 60 794
3 66 572
4 6 340
4 11 321
4 16 414
4 26 69
4 27 783
4 31 895
4 32 414
4 47 244
4 48 526
4 49 917
4 65 424
4 67 296
5 6 33
5 8 667
5 13 125
5 14 887
5 16 247
5 19 941
5 22 85
5 25 606
5 26 814
5 39 640
5 45 831
5 50 118
5 52 717
5 57 996
5 61 39
5 67 403
6 2 481
6 20 19
6 26 805
6 29 89
6 35 20
6 39 300
6 42 24
6 44 268
6 47 408
6 48 509
6 59 519
6 63 881
7 2 760
7 5 222
7 23 137
7 30 752
7 34 638
7 35 18
7 37 910
7 46 390
7 50 503
7 63 666
7 64 483
7 66 790
8 4 533
8 14 494
8 26 893
8 27 84
8 42 652
8 55 650
8 57 868
8 65 174
8 67 582
9 6 331
9 11 395
9 16 714
9 18 399
9 22 425
9 30 988
9 38 427
9 42 619
9 46 282
9 49 4
9 53 220
9 55 985
9 56 843
9 59 295
9 62 967
9 69 477
10 1 104
10 2 709
10 12 63
10 13 21
10 26 642
10 28 57
10 41 265
10 43 522
10 45 525
10 47 22
10 57 246
10 66 98
11 15 862
11 16 98
11 17 599
11 31 981
11 40 12
11 52 636
11 54 158
11 65 989
11 66 652
11 68 841
12 0 985
12 3 188
12 18 777
12 25 357
12 30 22
12 32 496
12 36 80
12 40 702
12 41 786
12 45 478
12 55 876
12 57 165
12 59 854
12 62 260
13 1 638
13 12 851
13 15 90
13 16 908
13 21 412
13 25 611
13 30 865
13 32 334
13 46 164
13 51 763
13 55 177
13 64 997
13 66 466
13 69 285
14 9 406
14 10 600
14 11 946
14 17 32
14 21 601
14 22 221
14 24 892
14 29 869
14 35 368
14 36 91
14 48 200
14 51 71
14 54 548
14 62 73
14 68 924
14 69 22
15 3 446
15 10 80
15 26 384
15 34 127
15 38 203
15 59 530
16 23 703
16 26 62
16 39 202
16 48 383
16 53 90
17 4 408
17 20 928
17 23 842
17 36 48
17 38 982
17 50 982
17 54 545
17 56 59
17 64 972
17 68 453
18 5 635
18 8 457
18 13 658
18 15 257
18 16 207
18 20 780
18 22 28
18 30 144
18 32 232
18 46 237
18 65 911
19 10 658
19 20 313
19 25 792
19 29 445
19 31 80
19 47 315
19 50 392
19 54 80
19 61 79
19 62 263
20 0 310
20 3 133
20 4 539
20 8 71
20 9 247
20 24 296
20 34 78
20 44 209
20 48 152
20 49 563
20 53 690
20 57 34
20 62 655
20 68 158
21 32 456
21 38 987
21 48 716
21 61 956
21 65 276
22 1 991
22 3 596
22 7 119
22 11 570
22 12 677
22 17 203
22 25 936
22 31 857
22 36 483
22 37 173
22 38 657
22 41 646
22 42 642
22 51 133
22 55 648
22 56 642
22 60 33
22 68 205
23 4 251
23 6 674
23 8 485
23 11 150
23 18 909
23 30 890
23 36 300
23 51 251
23 62 256
23 65 569
24 5 174
24 6 948
24 11 811
24 15 232
24 21 354
24 23 634
24 43 917
24 44 749
24 47 653
24 61 35
24 62 981
25 0 718
25 4 428
25 10 854
25 11 956
25 16 256
25 29 189
25 43 129
25 44 18
25 48 629
25 56 618
25 64 474
26 13 504
26 21 195
26 27 447
26 33 812
26 38 174
26 48 217
26 51 794
26 54 867
26 62 302
27 13 70
27 14 490
27 18 733
27 23 274
27 24 837
27 38 898
27 53 829
27 57 574
27 59 505
27 60 442
27 68 354
27 69 188
28 5 32
28 6 178
28 7 459
28 9 9
28 14 863
28 16 839
28 18 529
28 19 404
28 22 521
28 26 74
28 29 179
28 30 988
28 37 91
28 69 436
29 3 747
29 31 191
29 36 223
29 47 898
29 56 625
29 58 480
29 65 400
30 1 288
30 10 661
30 24 844
30 33 610
30 36 808
30 37 654
30 44 228
30 55 115
30 59 271
30 66 249
31 8 908
31 9 869
31 10 568
31 24 487
31 30 335
31 41 780
31 46 232
31 52 833
31 55 136
31 56 384
31 64 672
31 66 133
32 5 253
32 6 785
32 7 267
32 20 104
32 27 176
32 28 543
32 40 649
32 47 791
32 60 473
32 61 689
32 65 519
32 66 369
32 68 56
33 0 971
33 8 677
33 27 730
33 35 826
33 43 169
33 47 492
33 60 261
33 69 494
34 17 665
34 18 881
34 23 975
34 24 673
34 25 181
34 35 698
34 56 276
34 60 147
34 64 619
35 3 324
35 19 591
35 21 446
35 22 447
35 23 582
35 27 49
35 36 631
35 50 66
35 53 969
35 54 99
35 57 30
35 62 222
35 66 578
36 4 298
36 11 698
36 13 29
36 15 676
36 20 121
36 33 820
36 41 296
36 43 557
36 44 10
36 53 810
