100 261
0 1 6714
0 10 9346
0 11 7366
1 2 6811
1 11 7299
1 12 9336
2 3 2477
2 12 8811
2 13 1621
3 4 4
3 13 8388
3 14 1701
4 5 4228
4 14 9721
4 15 3618
5 6 8672
5 15 6384
5 16 681
6 7 6693
6 16 1638
6 17 4639
7 8 8847
7 17 2529
7 18 1706
8 9 5733
8 18 6713
8 19 6
9 19 919
10 11 4768
10 20 9995
10 21 2702
11 12 1482
11 21 418
11 22 1147
12 13 8293
12 22 7717
12 23 482
13 14 1849
13 23 7606
13 24 3182
14 15 2932
14 24 5993
14 25 5962
15 16 8240
15 25 6792
15 26 658
16 17 6911
16 26 4255
16 27 1339
17 18 3603
17 27 5893
17 28 7058
18 19 2449
18 28 8422
18 29 8764
19 29 8182
20 21 9850
20 30 179
20 31 5134
21 22 4617
21 31 173
21 32 8916
22 23 6099
22 32 592
22 33 62
23 24 5471
23 33 9388
23 34 1623
24 25 7320
24 34 6994
24 35 5884
25 26 1330
25 35 4065
25 36 2924
26 27 9570
26 36 1936
26 37 4662
27 28 6481
27 37 6191
27 38 7080
28 29 1162
28 38 3162
28 39 4137
29 39 3612
30 31 3980
30 40 2872
30 41 1584
31 32 3829
31 41 4131
31 42 7797
32 33 8446
32 42 4304
32 43 7791
33 34 5624
33 43 5975
33 44 8932
34 35 2173
34 44 6442
34 45 1633
35 36 571
35 45 4514
35 46 8596
36 37 1901
36 46 8579
36 47 1520
37 38 1471
37 47 1593
37 48 6182
38 39 9031
38 48 7784
38 49 3261
39 49 192
40 41 8478
40 50 4883
40 51 946
41 42 2457
41 51 7756
41 52 3609
42 43 7365
42 52 1886
42 53 2484
43 44 5810
43 53 7269
43 54 1354
44 45 2512
44 54 3244
44 55 285
45 46 4685
45 55 764
45 56 2998
46 47 5256
46 56 5278
46 57 1593
47 48 7158
47 57 4935
47 58 3113
48 49 9708
48 58 6529
48 59 373
49 59 8738
50 51 3635
50 60 8930
50 61 5391
51 52 3191
51 61 3813
51 62 6337
52 53 5648
52 62 2647
52 63 1024
53 54 3012
53 63 4533
53 64 4588
54 55 9901
54 64 1801
54 65 5942
55 56 3492
55 65 6124
55 66 6227
56 57 8177
56 66 6888
56 67 9225
57 58 3433
57 67 3244
57 68 1897
58 59 1669
58 68 8180
58 69 5010
59 69 1376
60 61 5384
60 70 113
60 71 4708
61 62 97
61 71 9043
61 72 98
62 63 4367
62 72 3934
62 73 7515
63 64 14
63 73 6581
63 74 9618
64 65 4105
64 74 2192
64 75 4205
65 66 5084
65 75 5073
65 76 146
66 67 8576
66 76 1196
66 77 7453
67 68 7832
67 77 9164
67 78 7756
68 69 1264
68 78 2407
68 79 9653
69 79 2933
70 71 4663
70 80 4309
70 81 1665
71 72 1125
71 81 5501
71 82 6373
72 73 2301
72 82 5622
72 83 7551
73 74 6668
73 83 9557
73 84 5065
74 75 7761
74 84 7216
74 85 4682
75 76 2944
75 85 9409
75 86 9967
76 77 8028
76 86 4481
76 87 112
77 78 7683
77 87 6756
77 88 7565
78 79 5514
78 88 5919
78 89 5321
79 89 7857
80 81 4973
80 90 1868
80 91 9406
81 82 714
81 91 6177
81 92 1070
82 83 2918
82 92 2756
82 93 8523
83 84 5219
83 93 8378
83 94 6073
84 85 1886
84 94 7934
84 95 2216
85 86 725
85 95 5150
85 96 7977
86 87 3669
86 96 4558
86 97 7943
87 88 2776
87 97 117
87 98 9135
88 89 458
88 98 6873
88 99 6699
89 99 7051
90 91 3098
91 92 2792
92 93 4907
93 94 9151
94 95 3276
95 96 6775
96 97 9865
97 98 5425
98 99 4030
