100 261
0 1 108
0 10 404
0 11 305
1 2 305
1 11 595
1 12 124
2 3 488
2 12 109
2 13 931
3 4 371
3 13 287
3 14 445
4 5 462
4 14 501
4 15 510
5 6 360
5 15 701
5 16 950
6 7 391
6 16 188
6 17 100
7 8 578
7 17 769
7 18 582
8 9 860
8 18 12
8 19 244
9 19 753
10 11 890
10 20 250
10 21 608
11 12 688
11 21 654
11 22 914
12 13 993
12 22 940
12 23 728
13 14 170
13 23 48
13 24 348
14 15 231
14 24 335
14 25 793
15 16 694
15 25 526
15 26 993
16 17 744
16 26 226
16 27 942
17 18 135
17 27 104
17 28 41
18 19 713
18 28 874
18 29 313
19 29 262
20 21 557
20 30 14
20 31 886
21 22 446
21 31 265
21 32 183
22 23 825
22 32 609
22 33 96
23 24 817
23 33 548
23 34 514
24 25 678
24 34 287
24 35 862
25 26 909
25 35 312
25 36 344
26 27 292
26 36 839
26 37 337
27 28 36
27 37 755
27 38 969
28 29 171
28 38 860
28 39 10
29 39 574
30 31 13
30 40 837
30 41 733
31 32 571
31 41 541
31 42 308
32 33 707
32 42 496
32 43 491
33 34 531
33 43 105
33 44 278
34 35 38
34 44 343
34 45 792
35 36 406
35 45 320
35 46 344
36 37 4
36 46 633
36 47 688
37 38 297
37 47 471
37 48 715
38 39 333
38 48 225
38 49 684
39 49 194
40 41 384
40 50 768
40 51 775
41 42 397
41 51 294
41 52 507
42 43 658
42 52 836
42 53 505
43 44 365
43 53 331
43 54 687
44 45 586
44 54 436
44 55 965
45 46 314
45 55 470
45 56 446
46 47 410
46 56 790
46 57 790
47 48 415
47 57 422
47 58 168
48 49 712
48 58 583
48 59 883
49 59 735
50 51 566
50 60 929
50 61 809
51 52 950
51 61 386
51 62 583
52 53 37
52 62 681
52 63 781
53 54 695
53 63 516
53 64 285
54 55 750
54 64 847
54 65 662
55 56 26
55 65 974
55 66 626
56 57 30
56 66 443
56 67 763
57 58 441
57 67 232
57 68 242
58 59 856
58 68 655
58 69 410
59 69 257
60 61 293
60 70 992
60 71 928
61 62 549
61 71 920
61 72 736
62 63 189
62 72 305
62 73 9
63 64 226
63 73 676
63 74 480
64 65 921
64 74 191
64 75 455
65 66 361
65 75 729
65 76 117
66 67 387
66 76 702
66 77 433
67 68 417
67 77 144
67 78 195
68 69 858
68 78 66
68 79 128
69 79 403
70 71 538
70 80 660
70 81 411
71 72 521
71 81 651
71 82 339
72 73 761
72 82 260
72 83 765
73 74 950
73 83 256
73 84 774
74 75 175
74 84 932
74 85 944
75 76 786
75 85 814
75 86 399
76 77 837
76 86 542
76 87 516
77 78 223
77 87 243
77 88 949
78 79 331
78 88 77
78 89 835
79 89 188
80 81 963
80 90 282
80 91 834
81 82 190
81 91 942
81 92 245
82 83 402
82 92 283
82 93 274
83 84 162
83 93 543
83 94 38
84 85 111
84 94 489
84 95 503
85 86 977
85 95 111
85 96 446
86 87 452
86 96 925
86 97 535
87 88 289
87 97 466
87 98 50
88 89 202
88 98 399
88 99 690
89 99 533
90 91 524
91 92 166
92 93 412
93 94 176
94 95 1000
95 96 694
96 97 366
97 98 935
98 99 325
