40 200
0 4 32
0 5 26
0 18 27
0 36 20
0 38 36
1 34 32
2 0 19
2 1 1
2 7 0
2 12 3
2 15 11
2 17 13
2 23 32
2 28 40
2 34 35
2 35 23
3 0 40
3 1 26
3 4 11
3 7 40
3 9 21
3 12 19
3 17 38
3 20 31
3 22 14
3 31 16
4 2 1
4 16 3
4 33 31
4 34 27
5 1 14
5 6 6
5 8 38
5 10 10
5 27 32
6 19 34
6 20 20
6 35 39
7 18 9
7 24 13
7 26 37
7 28 11
7 30 28
7 39 9
8 6 35
8 10 26
8 18 9
8 22 20
8 28 25
8 33 22
9 4 10
9 20 2
9 29 15
9 36 22
10 7 25
10 16 2
10 19 1
10 24 38
10 28 8
10 30 13
10 38 4
11 0 2
11 4 23
11 5 10
11 13 35
11 15 24
11 29 18
11 30 29
12 6 16
12 11 28
12 31 0
12 39 16
13 1 5
13 7 18
13 8 20
13 14 1
13 27 31
13 34 34
14 1 35
14 8 6
14 17 2
14 18 33
14 21 28
14 29 16
14 30 19
15 10 0
15 16 21
16 18 0
16 29 9
16 34 20
17 1 25
17 5 24
17 19 36
17 20 31
17 36 16
17 38 37
17 39 35
18 6 35
18 9 19
18 20 33
18 29 30
19 1 11
19 3 31
19 12 25
19 18 23
19 36 33
20 2 15
20 21 18
20 22 5
20 26 22
21 7 26
21 10 34
21 17 17
21 23 11
21 33 16
22 2 17
22 12 22
22 21 30
22 34 0
22 37 33
23 1 4
23 11 39
23 13 37
23 33 33
23 34 10
24 12 11
24 16 37
24 19 18
24 28 1
25 15 5
25 28 38
25 36 25
26 3 4
26 4 15
26 15 17
26 24 12
26 28 31
26 32 26
27 6 10
27 16 32
27 23 20
27 30 28
27 31 35
28 23 15
28 31 17
28 35 20
28 37 37
29 0 4
29 19 10
29 23 40
29 26 21
29 27 36
29 30 25
29 32 33
29 33 8
29 37 29
30 8 35
30 23 33
30 35 29
31 5 6
31 9 29
31 11 10
31 15 11
31 17 24
32 6 29
32 11 31
32 14 3
32 25 14
32 36 2
33 6 11
33 17 19
33 19 32
33 27 2
33 37 13
33 38 4
34 0 16
34 36 27
35 1 39
35 16 21
35 17 32
35 23 40
35 32 16
36 2 7
36 12 15
36 20 9
36 21 7
37 5 33
37 13 8
37 14 17
37 17 16
37 34 20
38 8 39
38 18 40
38 30 25
38 32 30
38 37 25
39 14 1
39 25 12
39 26 14
39 30 10
