81 208
0 1 696
0 9 592
0 10 233
1 2 247
1 10 385
1 11 669
2 3 51
2 11 35
2 12 683
3 4 250
3 12 58
3 13 326
4 5 338
4 13 410
4 14 274
5 6 419
5 14 231
5 15 626
6 7 325
6 15 188
6 16 69
7 8 273
7 16 691
7 17 142
8 17 305
9 10 56
9 18 563
9 19 376
10 11 660
10 19 605
10 20 452
11 12 365
11 20 205
11 21 685
12 13 612
12 21 590
12 22 362
13 14 372
13 22 335
13 23 53
14 15 622
14 23 393
14 24 380
15 16 670
15 24 103
15 25 654
16 17 97
16 25 43
16 26 288
17 26 422
18 19 358
18 27 404
18 28 232
19 20 500
19 28 8
19 29 222
20 21 265
20 29 281
20 30 307
21 22 225
21 30 185
21 31 58
22 23 299
22 31 391
22 32 452
23 24 210
23 32 280
23 33 523
24 25 291
24 33 324
24 34 577
25 26 623
25 34 17
25 35 666
26 35 301
27 28 328
27 36 398
27 37 530
28 29 616
28 37 529
28 38 573
29 30 683
29 38 232
29 39 514
30 31 482
30 39 651
30 40 445
31 32 457
31 40 231
31 41 51
32 33 391
32 41 125
32 42 109
33 34 690
33 42 225
33 43 270
34 35 609
34 43 215
34 44 93
35 44 609
36 37 379
36 45 531
36 46 539
37 38 344
37 46 131
37 47 556
38 39 672
38 47 529
38 48 94
39 40 296
39 48 66
39 49 668
40 41 279
40 49 299
40 50 190
41 42 470
41 50 249
41 51 636
42 43 226
42 51 189
42 52 687
43 44 326
43 52 23
43 53 506
44 53 315
45 46 75
45 54 633
45 55 249
46 47 578
46 55 542
46 56 464
47 48 256
47 56 372
47 57 302
48 49 600
48 57 213
48 58 568
49 50 280
49 58 451
49 59 662
50 51 286
50 59 518
50 60 338
51 52 565
51 60 116
51 61 529
52 53 334
52 61 74
52 62 464
53 62 270
54 55 159
54 63 596
54 64 673
55 56 665
55 64 621
55 65 696
56 57 40
56 65 553
56 66 244
57 58 618
57 66 394
57 67 417
58 59 174
58 67 476
58 68 429
59 60 483
59 68 689
59 69 296
60 61 473
60 69 439
60 70 667
61 62 58
61 70 666
61 71 14
62 71 332
63 64 252
63 72 375
63 73 491
64 65 15
64 73 645
64 74 274
65 66 584
65 74 250
65 75 246
66 67 549
66 75 170
66 76 652
67 68 589
67 76 432
67 77 195
68 69 215
68 77 536
68 78 322
69 70 98
69 78 311
69 79 50
70 71 291
70 79 8
70 80 346
71 80 63
72 73 21
73 74 156
74 75 531
75 76 35
76 77 122
77 78 162
78 79 287
79 80 613
