100 200
0 39 2
1 13 2
2 4 9999
2 34 1
2 43 1
2 56 2
2 91 2
2 96 2
2 98 5000
3 28 5000
3 81 1
4 18 10000
5 6 2
5 16 2
5 89 10000
6 20 2
6 82 10000
6 98 5000
8 45 1
8 77 1
9 20 9999
9 34 1
10 9 9999
10 60 10000
10 67 1
11 16 1
11 50 9999
11 64 2
12 34 9999
12 47 5000
13 20 9999
16 55 2
17 6 1
18 1 5000
19 5 5000
19 9 2
20 75 9999
20 81 2
20 95 9999
21 61 2
21 90 5000
23 12 5000
23 62 5000
24 2 2
24 41 2
24 44 2
24 95 10000
25 58 5000
26 44 1
26 54 10000
26 87 5000
27 9 10000
27 22 2
27 57 2
27 95 9999
28 7 5000
29 95 10000
30 77 9999
32 28 9999
32 34 10000
32 59 1
33 42 2
33 70 1
34 7 10000
35 2 2
35 45 1
36 25 9999
36 41 9999
36 96 1
37 20 5000
37 72 1
39 83 9999
40 17 2
40 31 10000
40 41 10000
40 75 9999
41 96 2
42 8 2
42 46 2
42 85 1
43 74 5000
43 96 5000
44 2 10000
44 21 1
44 85 1
44 87 2
44 96 1
44 97 9999
46 66 9999
46 95 9999
48 10 9999
48 50 10000
50 0 5000
50 19 10000
51 10 5000
52 40 2
52 73 10000
54 15 1
54 36 2
54 62 1
55 31 2
55 40 1
57 15 2
57 50 5000
57 64 1
57 99 10000
58 48 10000
58 62 2
58 65 2
58 90 1
59 6 5000
59 99 5000
60 61 10000
61 64 10000
61 87 9999
61 88 10000
62 53 9999
62 87 5000
63 84 1
64 40 1
64 78 1
65 96 9999
66 13 5000
66 14 9999
66 56 2
66 79 2
66 84 10000
67 89 1
68 44 5000
68 46 9999
68 47 1
68 67 10000
69 9 10000
69 51 5000
69 66 5000
69 84 10000
69 93 5000
70 29 1
71 49 2
71 90 9999
72 25 1
72 96 5000
73 86 2
74 14 1
74 38 1
75 16 1
76 23 2
76 51 5000
76 82 10000
77 84 5000
77 98 2
78 10 5000
78 12 5000
78 43 2
78 74 1
78 86 10000
78 96 1
79 61 2
80 1 9999
80 32 2
81 45 2
82 48 5000
82 58 5000
82 62 2
83 29 2
83 74 2
84 24 1
84 99 9999
85 39 1
86 10 5000
86 42 5000
86 90 5000
87 24 10000
87 52 5000
87 82 1
87 97 5000
88 48 2
88 56 9999
88 75 5000
88 76 9999
89 25 2
89 76 10000
90 47 1
90 59 5000
90 97 5000
91 42 2
92 25 9999
92 66 10000
92 86 9999
93 48 10000
93 65 1
94 2 5000
94 8 2
94 90 1
95 47 10000
96 32 5000
97 59 10000
98 18 2
98 21 5000
98 90 2
