81 208
0 1 3012
0 9 259
0 10 3635
1 2 512
1 10 3345
1 11 1213
2 3 563
2 11 2658
2 12 48
3 4 1590
3 12 1771
3 13 3860
4 5 4246
4 13 1747
4 14 3060
5 6 4768
5 14 603
5 15 4888
6 7 2164
6 15 2808
6 16 1754
7 8 3097
7 16 880
7 17 85
8 17 2246
9 10 1960
9 18 2985
9 19 3781
10 11 648
10 19 3531
10 20 4570
11 12 4424
11 20 3791
11 21 3204
12 13 698
12 21 2898
12 22 4417
13 14 1261
13 22 555
13 23 4466
14 15 3614
14 23 3090
14 24 4088
15 16 2859
15 24 4837
15 25 2147
16 17 3390
16 25 1202
16 26 2034
17 26 1316
18 19 4551
18 27 175
18 28 4011
19 20 4637
19 28 2422
19 29 4891
20 21 2359
20 29 1169
20 30 4435
21 22 3008
21 30 4701
21 31 4004
22 23 3194
22 31 4254
22 32 2971
23 24 3892
23 32 2151
23 33 2387
24 25 916
24 33 2707
24 34 2615
25 26 4530
25 34 796
25 35 1702
26 35 3152
27 28 3849
27 36 2304
27 37 1395
28 29 1645
28 37 3620
28 38 3361
29 30 1959
29 38 3795
29 39 3134
30 31 1595
30 39 1979
30 40 3787
31 32 3954
31 40 3149
31 41 3221
32 33 2724
32 41 3612
32 42 2988
33 34 1680
33 42 2865
33 43 958
34 35 572
34 43 15
34 44 3345
35 44 1488
36 37 960
36 45 1780
36 46 3485
37 38 3425
37 46 694
37 47 43
38 39 2274
38 47 2998
38 48 1439
39 40 4682
39 48 1617
39 49 4800
40 41 1640
40 49 1175
40 50 3696
41 42 3998
41 50 3917
41 51 2482
42 43 3715
42 51 2828
42 52 703
43 44 2201
43 52 1439
43 53 3691
44 53 3882
45 46 4649
45 54 4454
45 55 66
46 47 3756
46 55 1704
46 56 845
47 48 478
47 56 4247
47 57 4330
48 49 3904
48 57 4942
48 58 4374
49 50 1940
49 58 2939
49 59 1575
50 51 1621
50 59 319
50 60 2137
51 52 4025
51 60 2257
51 61 832
52 53 3022
52 61 1173
52 62 3314
53 62 2499
54 55 4780
54 63 4701
54 64 4765
55 56 3470
55 64 3582
55 65 1966
56 57 3881
56 65 3798
56 66 2033
57 58 3400
57 66 1264
57 67 2878
58 59 3878
58 67 510
58 68 2970
59 60 2781
59 68 1214
59 69 2343
60 61 4721
60 69 4154
60 70 3918
61 62 2105
61 70 235
61 71 1054
62 71 1129
63 64 2649
63 72 4914
63 73 2492
64 65 963
64 73 2413
64 74 3665
65 66 742
65 74 2876
65 75 4192
66 67 4976
66 75 1457
66 76 1158
67 68 3856
67 76 254
67 77 3191
68 69 3018
68 77 2281
68 78 1831
69 70 1896
69 78 2791
69 79 4801
70 71 439
70 79 4769
70 80 2907
71 80 923
72 73 1824
73 74 3922
74 75 3028
75 76 3642
76 77 4157
77 78 4920
78 79 1290
79 80 2411
