100 500
0 18 8
0 19 8
0 38 2
0 85 2
1 10 9997
1 19 2
1 37 10000
1 59 1
1 70 3
1 84 3
2 0 2
2 13 2
2 30 5
2 34 9997
2 77 2
2 79 5
2 98 9997
3 37 1
4 18 5
4 23 10000
4 37 9999
4 65 5000
4 73 3
4 90 5000
5 6 5000
5 8 5
5 55 10000
5 64 3
5 82 9999
6 14 8
6 27 5
6 28 9997
6 51 8
6 54 5000
6 72 10000
6 83 3
6 88 9999
6 94 9999
7 50 5000
7 58 1
8 16 10000
8 41 5
8 91 5
9 18 5000
9 29 10000
9 41 5
9 69 1
9 95 8
10 62 9997
10 70 5
10 81 5000
10 85 9999
11 4 5
11 16 10000
11 33 1
11 48 5
11 68 5
11 70 8
12 65 9997
12 66 5
12 90 10000
13 26 3
13 34 9997
13 37 5
13 77 5
13 97 1
14 1 2
14 2 5
14 4 5
14 24 8
14 36 1
14 44 2
14 51 5
15 6 9999
15 50 1
15 59 5
15 68 10000
15 69 9999
16 18 9997
16 62 10000
16 90 1
16 98 9999
17 8 5000
17 21 3
17 40 3
17 63 8
18 1 8
18 24 5000
18 30 8
18 78 5
18 88 5000
19 3 1
19 5 1
19 73 5
19 81 8
19 84 3
19 92 10000
19 93 2
19 95 5000
19 96 9997
20 4 10000
20 9 8
20 18 5
20 34 2
20 65 2
20 79 9997
20 91 9999
21 10 8
21 25 5000
21 30 8
21 37 8
21 42 8
21 80 3
21 96 1
22 2 10000
22 4 1
22 25 3
22 68 2
23 21 2
23 24 1
23 28 1
23 40 10000
23 46 2
23 55 1
24 15 2
24 59 5
25 87 2
26 5 3
26 42 1
26 49 3
26 50 9997
26 76 5000
26 98 2
27 16 1
27 33 3
27 51 9999
27 57 9997
27 81 5000
27 94 8
28 12 8
28 17 2
28 18 2
28 24 3
28 31 5000
28 68 5
29 34 8
29 81 8
30 3 9999
30 20 3
30 38 5
30 40 1
30 55 5000
31 2 9997
31 60 5
31 68 10000
31 75 8
31 90 5000
31 95 8
32 12 5000
32 37 3
32 89 5000
33 4 5000
33 24 9997
33 29 8
33 68 9999
33 79 9997
33 97 8
34 19 2
34 43 8
34 95 2
35 15 8
35 49 5
35 53 9997
35 59 1
35 68 8
36 21 10000
36 34 3
36 39 10000
36 91 8
37 22 9997
37 43 9997
37 48 5000
37 73 3
37 76 9999
37 79 9997
38 41 5
38 49 9997
38 62 9999
38 66 9997
38 82 5
38 97 5
39 13 5000
39 29 9999
40 38 10000
40 46 1
40 57 9999
40 75 9999
40 91 10000
41 11 8
41 34 9999
41 42 10000
41 44 5
41 77 9999
41 91 9999
42 1 5000
42 31 10000
43 6 10000
43 11 5
43 14 1
43 18 9999
43 40 9997
43 45 5
43 53 5
43 70 9999
43 71 5000
43 98 5000
44 25 5000
44 45 3
44 48 10000
44 52 5
44 70 8
44 97 5000
45 11 5000
45 19 9997
45 33 9997
45 46 2
45 55 9999
45 71 8
45 81 1
46 6 9997
46 21 10000
46 61 9999
46 69 2
46 94 9997
47 16 3
47 33 10000
47 35 9999
47 42 8
47 67 3
47 82 1
47 87 8
48 0 9997
48 14 8
48 40 5000
48 53 2
48 69 10000
48 77 5
48 85 8
49 7 5000
49 45 5000
49 56 2
49 81 9997
50 8 2
50 17 5000
50 23 8
50 36 9999
50 58 5
50 90 5000
50 97 9999
50 99 5000
51 2 2
51 56 5000
51 63 10000
51 70 10000
51 71 9997
52 5 1
52 28 3
52 95 2
53 25 3
53 31 1
53 51 1
53 54 1
53 86 10000
53 88 8
54 2 9997
54 9 9999
54 24 5000
54 81 3
55 24 5000
55 58 10000
56 1 1
56 2 10000
56 18 1
56 63 9999
56 68 5000
56 81 5
56 86 9999
56 91 1
57 78 10000
57 95 1
58 20 5
58 23 1
58 34 5
58 66 9997
58 72 10000
58 83 5000
58 99 9999
59 0 3
59 43 3
59 75 9997
59 83 3
60 7 9999
60 24 5000
60 48 5
60 86 5
60 99 1
61 13 9999
61 19 2
61 24 9999
61 35 5
61 52 9999
61 58 3
61 71 2
61 85 3
61 89 9997
62 2 9999
62 14 2
62 39 5
62 57 8
62 61 10000
62 67 10000
62 83 10000
62 86 5000
63 40 5000
63 49 5
63 83 8
63 92 8
63 96 10000
64 38 8
64 94 5
65 16 2
65 23 3
65 71 5000
65 73 3
65 84 2
66 20 2
66 56 2
66 59 8
66 75 10000
66 98 10000
67 45 2
68 18 9997
68 58 9997
68 84 1
68 89 5000
69 10 9997
69 36 9999
69 61 1
69 75 1
70 2 9999
70 15 10000
71 29 9997
71 62 10000
72 5 2
72 66 9999
72 67 10000
72 81 1
73 14 1
73 21 8
73 38 5
73 41 1
73 52 10000
73 63 2
73 64 9999
73 75 8
73 96 10000
74 3 10000
74 14 9997
74 25 10000
74 49 5000
74 58 10000
74 63 8
74 64 9997
74 71 9999
74 72 1
74 86 5
75 33 10000
75 34 2
75 52 5
75 81 2
75 84 8
75 88 9999
75 94 1
76 2 5000
76 3 2
76 21 9999
76 58 10000
76 61 5
76 64 1
76 77 9999
77 58 8
77 74 2
77 94 2
77 96 9997
78 8 8
78 10 9999
78 76 3
78 83 10000
78 94 10000
79 96 10000
80 9 2
80 90 9997
80 92 5
81 3 5
