60 400
0 9 10
0 11 1
0 17 11
0 26 37
0 37 8
1 6 46
1 12 53
1 22 54
1 24 5
1 35 6
1 36 47
1 37 61
1 40 54
2 4 70
2 15 35
2 24 54
2 25 79
2 33 4
2 35 71
2 45 3
2 48 45
2 58 38
3 2 25
3 6 60
3 20 31
3 35 25
3 50 1
4 6 4
4 10 42
4 16 8
4 34 55
4 42 30
4 43 62
4 57 66
5 11 25
5 24 13
5 34 50
6 0 56
6 12 36
6 17 4
6 23 9
6 25 37
6 29 54
6 30 24
6 37 17
6 43 30
6 45 42
7 10 41
7 11 42
7 26 20
7 38 30
7 40 47
7 51 56
7 52 67
8 0 29
8 7 70
8 18 57
8 24 16
8 35 36
8 36 68
8 41 12
8 46 31
8 48 70
8 49 37
8 54 22
9 1 31
9 7 1
9 14 25
9 37 42
9 45 56
9 58 69
10 11 18
10 25 21
10 27 37
10 28 9
10 34 47
10 35 31
10 56 7
11 17 80
11 22 78
11 30 40
11 40 19
11 42 75
11 52 40
12 2 67
12 22 37
12 24 21
12 27 74
12 35 17
12 49 7
12 51 0
13 2 63
13 4 0
13 10 67
13 14 46
13 19 74
13 33 30
13 48 40
13 54 78
14 15 41
14 17 65
14 19 56
14 26 62
14 31 63
14 37 22
14 44 8
14 48 61
14 56 3
14 59 2
15 1 55
15 39 68
15 43 71
16 1 45
16 7 18
16 8 39
16 20 27
16 30 25
16 31 36
16 38 48
16 46 27
16 54 35
17 1 38
17 10 53
17 12 49
17 42 60
17 43 67
17 53 69
17 56 29
17 59 4
18 0 49
18 16 63
18 31 14
18 33 48
18 37 32
18 40 62
18 42 79
18 44 11
18 49 56
19 4 4
19 6 31
19 11 77
19 29 11
19 43 37
19 45 78
19 46 33
19 56 23
20 8 59
20 19 64
20 24 69
20 45 1
20 49 19
20 51 61
21 7 31
21 8 74
21 40 64
21 44 41
22 3 30
22 4 40
22 16 63
22 17 2
22 20 29
22 28 23
22 31 70
22 38 13
22 45 73
22 47 37
22 48 22
22 52 42
22 53 55
22 59 48
23 4 54
23 9 30
23 14 67
23 17 72
23 27 31
23 39 72
23 58 37
24 6 43
24 19 4
24 29 15
24 49 32
24 54 72
25 4 23
26 3 45
26 10 20
26 38 39
26 43 46
26 58 77
27 7 27
27 18 54
27 33 9
27 36 26
27 43 43
27 55 16
28 7 3
28 15 24
28 25 30
28 27 34
28 41 4
28 57 69
29 0 54
29 4 72
29 5 45
29 7 21
29 9 80
29 22 61
29 25 40
29 28 61
29 34 79
29 44 4
29 48 43
30 3 19
30 5 78
30 22 8
30 34 35
30 48 35
30 49 18
31 10 67
31 11 51
31 19 46
31 30 25
31 50 13
31 54 41
32 5 59
32 14 8
32 18 4
32 47 14
32 48 28
32 51 48
33 8 13
33 10 44
33 16 74
33 17 41
33 43 1
33 52 62
33 55 14
33 56 56
33 57 45
34 0 15
34 1 42
34 9 26
34 49 54
34 51 50
34 58 1
34 59 62
35 18 20
35 20 56
35 32 76
35 59 79
36 0 48
36 17 70
36 32 48
36 34 5
36 44 21
36 49 5
36 59 3
37 25 21
37 27 46
37 29 22
37 30 49
37 36 54
37 55 55
38 2 25
38 3 40
38 9 62
38 17 35
38 19 28
38 20 6
38 30 2
38 34 65
38 40 21
38 45 58
38 52 4
38 55 55
39 1 51
39 21 9
39 38 14
39 40 8
39 50 10
39 51 12
39 53 29
40 6 48
40 20 6
40 27 65
40 44 68
41 23 72
41 55 58
42 6 25
42 20 8
42 30 7
42 47 16
42 50 3
43 18 76
43 39 80
43 47 70
43 52 49
43 59 54
44 16 37
44 27 27
44 33 10
44 39 73
44 43 31
44 48 42
44 50 30
44 52 45
44 57 27
45 25 49
45 26 26
45 27 53
46 1 54
46 2 37
46 13 69
46 39 54
46 49 37
46 50 17
47 0 8
47 24 74
47 29 60
47 33 2
47 41 5
47 50 12
47 57 11
48 1 48
48 6 55
48 28 6
48 35 20
48 41 60
48 50 78
49 1 53
49 17 23
49 37 33
49 40 34
49 47 17
49 56 24
50 1 29
50 15 22
50 29 18
50 32 9
50 35 11
50 36 63
51 3 30
51 8 2
51 24 0
51 28 59
51 33 77
51 35 56
51 44 39
51 48 46
51 56 0
51 57 30
52 10 25
52 12 29
52 18 75
52 29 28
52 30 3
52 35 50
52 49 58
52 53 71
53 27 64
53 41 40
53 49 26
53 54 46
53 56 77
54 0 13
54 23 20
54 26 49
54 37 67
54 46 79
55 1 66
55 7 54
55 23 0
55 46 60
55 47 36
56 2 53
56 6 9
56 8 69
56 15 35
56 22 25
56 24 44
56 29 72
56 36 28
56 58 73
57 13 76
57 21 54
57 24 63
57 46 34
57 55 30
58 5 28
58 11 29
58 15 27
58 16 73
58 32 17
58 40 20
58 42 39
59 6 18
59 8 70
59 23 61
59 29 59
59 46 6
59 56 1
