100 1000
0 10 9997
0 25 9997
0 29 8
0 38 5000
0 40 9999
0 43 10000
0 46 10000
0 70 5000
0 98 2
1 5 9997
1 18 9997
1 28 2
1 33 5
1 55 9998
1 67 10000
2 6 1
2 8 9999
2 13 1
2 25 3
2 39 5000
2 42 3
2 74 8
2 85 2
2 88 9998
2 89 8
2 97 10000
3 4 9997
3 25 9998
3 35 2
3 49 2
3 55 9997
3 68 10000
3 74 9997
3 76 8
4 9 9997
4 11 9997
4 21 8
4 48 5000
4 54 8
4 59 2
4 88 8
5 3 3
5 9 8
5 10 9998
5 13 3
5 20 1
5 22 8
5 32 9999
5 44 2
5 45 5
5 56 1
5 63 5
5 65 8
5 66 5000
5 77 9997
5 95 1
6 7 9998
6 14 9999
6 16 8
6 18 1
6 22 9998
6 27 8
6 29 8
6 37 9998
6 48 5000
6 51 9997
6 54 5000
6 80 9997
6 97 5
7 4 10000
7 8 9998
7 19 9997
7 23 8
7 41 9998
7 48 5
7 54 10000
7 62 5000
7 65 8
7 67 5
7 68 9999
7 78 10000
7 99 5
8 0 9998
8 3 9998
8 10 1
8 14 3
8 40 5000
8 79 9998
8 86 2
8 98 2
9 1 5000
9 18 5000
9 28 3
9 33 9999
9 54 9998
9 63 1
9 71 2
9 76 9997
9 90 5000
9 91 5000
9 95 1
10 55 5000
10 56 5
10 73 8
11 8 9998
11 9 3
11 14 10000
11 18 3
11 27 9999
11 28 9998
11 39 5
11 40 8
11 43 5000
11 44 9998
11 61 9999
11 64 5000
11 68 9997
11 71 8
11 86 9999
12 15 8
12 20 9999
12 24 5000
12 27 9999
12 39 10000
12 41 8
12 46 1
12 50 8
12 51 9999
12 94 2
12 96 9998
13 11 3
13 12 5000
13 34 2
13 43 9997
13 55 9998
13 77 10000
14 2 5000
14 5 5000
14 7 8
14 31 2
14 54 8
14 71 1
14 89 2
14 96 9998
15 9 9997
15 22 9998
15 24 10000
15 26 2
15 60 3
15 78 8
15 79 10000
15 85 3
16 8 10000
16 33 10000
16 37 9997
16 42 8
16 57 5000
16 60 9999
16 73 1
16 83 9999
16 98 5
17 23 3
17 27 9999
17 32 8
17 36 9999
17 44 5
17 62 9997
17 66 1
17 96 5000
18 14 9998
18 28 9997
18 30 3
18 36 8
18 52 1
18 54 9998
18 62 3
18 64 9998
18 86 3
19 2 10000
19 10 1
19 14 9998
19 25 10000
19 29 2
19 30 9998
19 69 1
19 73 2
19 89 1
20 14 8
20 24 2
20 32 8
20 36 2
20 46 5000
20 60 10000
20 84 9999
21 16 9998
21 28 9997
21 41 9997
21 52 10000
21 56 1
21 57 9998
21 71 1
21 93 9997
22 4 9998
22 25 8
22 27 9998
22 28 10000
22 30 8
22 37 2
22 44 5000
22 55 2
22 59 3
22 62 5
22 69 2
22 71 9998
22 77 2
22 85 3
22 86 9997
22 92 2
23 9 10000
23 21 9999
23 56 10000
23 64 10000
23 70 5
23 81 9997
23 83 2
23 84 8
24 9 9999
24 21 5000
24 28 3
24 31 10000
24 45 1
24 50 9998
24 54 2
24 60 3
24 66 9997
24 67 9997
24 71 9997
24 95 2
25 5 9999
25 10 8
25 21 10000
25 24 2
25 38 8
25 39 5000
25 51 1
25 57 5000
25 76 9999
25 79 5
25 82 10000
26 4 5
26 11 1
26 19 5000
26 22 1
26 45 10000
26 47 8
26 49 9999
26 70 5000
26 71 9998
26 76 3
26 96 9998
27 5 2
27 7 9999
27 8 9999
27 10 5
27 14 5
27 21 9997
27 24 8
27 47 9998
27 67 9998
27 78 8
27 88 8
27 89 10000
27 90 9998
27 93 5000
27 96 5000
28 8 9999
28 10 5
28 12 5
28 16 9999
28 27 10000
28 35 3
28 39 9997
28 42 9999
28 45 10000
28 47 5000
28 48 8
28 57 2
28 58 5
28 59 10000
28 65 10000
28 68 5000
28 69 9999
28 79 9997
29 9 9999
29 14 9998
29 23 8
29 38 9998
29 44 1
29 45 10000
29 65 9998
29 69 5000
29 79 2
29 91 8
30 13 9999
30 16 5
30 23 9999
30 38 9999
30 46 9998
30 61 10000
30 70 9999
30 72 5000
30 76 3
30 77 1
31 3 2
31 6 9997
31 11 5000
31 12 10000
31 32 9999
31 34 3
31 49 9999
31 50 8
31 65 9998
31 68 9999
31 70 9998
31 83 10000
31 87 5000
32 2 9997
32 8 9998
32 19 3
32 22 8
32 24 3
32 48 3
32 61 9999
32 71 5
32 77 9998
32 89 9998
33 10 5000
33 51 9998
33 68 10000
33 80 8
33 82 10000
33 88 2
33 96 5
34 1 1
34 4 9997
34 7 1
34 17 9999
34 22 5000
34 26 3
34 37 2
34 49 1
35 4 9998
35 18 1
35 30 10000
35 48 3
35 51 8
35 53 9999
35 57 1
35 65 8
35 84 1
35 88 9997
36 19 3
36 37 9999
36 41 5000
36 43 1
36 83 10000
36 86 5000
36 90 10000
36 95 9998
36 97 1
37 13 5
37 14 2
37 17 2
37 20 8
37 62 1
37 71 9998
37 80 9997
38 35 2
38 37 5000
38 46 10000
38 49 10000
38 56 1
38 57 3
38 58 10000
38 68 9999
38 74 1
38 82 5000
39 7 3
39 17 2
39 29 2
39 40 9999
39 45 9998
39 48 10000
39 53 3
39 72 3
39 93 8
39 94 9999
39 95 9997
39 96 9997
39 99 9998
40 21 9998
40 22 10000
40 68 8
41 5 10000
41 11 9999
41 15 5
41 48 3
41 50 1
41 62 8
41 72 9997
41 89 9999
41 97 5000
42 13 3
42 23 3
42 27 3
42 32 1
42 41 3
42 47 3
42 68 8
42 72 5
42 73 10000
42 84 9997
42 94 3
43 1 3
43 3 1
43 14 2
43 16 5000
43 25 5
43 44 10000
43 54 10000
43 63 5
44 3 5000
44 9 8
44 36 1
44 52 3
44 60 9999
44 72 1
44 81 2
44 93 5000
45 4 8
45 9 2
45 17 5000
45 23 9998
45 25 5000
45 40 2
45 58 2
45 61 9999
45 67 2
45 69 1
45 72 10000
46 5 2
46 8 9999
46 36 3
46 68 9999
46 74 9997
46 78 3
47 5 9999
47 17 3
47 29 9997
47 30 5
47 38 9997
47 49 9999
47 56 9999
47 59 5000
47 93 9999
47 95 5
48 1 5
48 2 3
48 17 8
48 20 8
48 23 5000
48 36 1
48 47 5
48 52 9999
48 78 9997
49 6 5
49 9 9999
49 12 5000
49 16 5
49 17 8
49 20 9997
49 35 2
49 36 9999
49 41 10000
49 64 9997
49 76 9997
49 78 1
49 83 10000
49 84 9999
49 86 8
49 91 9997
49 93 8
50 7 9997
50 16 9997
50 25 10000
50 30 9997
50 45 9999
50 48 3
50 53 5
50 58 2
50 63 3
50 79 9998
51 0 10000
51 11 9999
51 28 5
51 54 2
51 55 9999
51 58 9997
51 78 10000
51 91 5
51 96 9997
52 3 2
52 9 1
52 14 5000
52 15 3
52 26 8
52 56 9999
52 60 1
52 67 5000
52 70 8
53 2 5000
53 8 9998
53 17 1
53 63 9999
53 66 8
53 67 3
53 77 2
54 16 8
54 25 5000
54 29 5
54 31 9999
54 33 9998
54 36 2
54 37 5
54 44 5
54 78 1
54 81 2
54 99 5
55 12 2
55 14 8
55 17 5000
55 18 3
55 19 9999
55 20 8
55 48 3
55 80 2
55 84 8
55 91 9997
55 95 8
55 99 3
56 22 1
56 36 9997
56 46 3
56 55 1
56 71 2
56 77 2
56 81 9997
56 93 1
57 6 1
57 22 3
57 61 1
57 72 8
57 77 8
57 87 5000
58 1 2
58 20 8
58 22 8
58 31 2
58 32 9999
58 34 10000
58 42 5000
58 46 9997
58 61 9998
58 86 5000
58 93 9997
58 98 10000
59 10 8
59 15 5000
59 56 9998
59 57 5
59 62 2
59 66 3
59 77 5000
59 90 10000
59 91 9998
59 96 10000
59 99 10000
60 26 3
60 35 5000
60 38 5000
60 46 3
60 47 9998
60 50 3
60 54 5000
60 58 9997
60 75 9997
60 81 8
60 84 5
60 95 9998
61 0 10000
61 4 1
61 7 1
61 10 10000
61 14 8
61 15 2
61 24 5
61 27 9998
61 31 9998
61 37 1
61 47 5000
61 55 9998
61 63 9997
61 76 9998
61 98 9997
62 0 9998
62 2 9998
62 6 5
62 16 2
62 21 9999
62 40 9999
62 65 10000
62 67 5
62 74 9997
62 86 8
63 3 2
63 4 3
63 21 9999
63 25 1
63 27 10000
63 37 8
63 40 5
63 56 5000
63 71 8
63 76 5
64 1 9999
64 15 1
64 25 5
64 32 2
64 44 5000
64 47 9998
64 78 10000
64 80 5000
64 96 2
65 2 1
65 13 1
65 32 2
65 37 10000
65 48 9997
65 71 5
65 72 5000
65 74 5000
65 81 2
66 8 9998
66 12 1
66 23 8
66 34 5000
66 35 2
66 36 10000
66 39 9998
66 43 10000
66 69 10000
66 84 9998
66 85 5000
67 16 9998
67 18 1
67 25 8
67 32 2
67 54 3
67 55 8
67 72 1
67 74 3
68 4 5
68 17 9997
68 59 9997
68 60 9999
68 76 5000
69 1 3
69 3 8
69 6 9998
69 9 9999
69 54 3
69 60 1
69 62 9999
69 67 9998
69 72 5000
69 73 5
69 75 1
69 87 1
69 89 10000
69 93 9997
69 97 2
70 9 9999
70 21 1
70 34 10000
70 49 5000
70 57 2
70 60 8
70 82 9998
70 90 5
70 95 9998
71 0 9999
71 6 3
71 16 5000
71 23 9997
71 44 10000
71 45 1
71 60 9999
71 66 2
71 77 2
71 80 9999
71 85 5
71 92 9997
71 93 9997
72 7 5000
72 14 3
72 25 1
72 51 9999
72 66 2
72 84 1
72 86 9997
72 96 5000
72 97 10000
73 0 3
73 9 10000
73 12 5000
73 20 9997
73 29 5
73 49 9998
73 50 3
73 60 5000
73 71 9999
73 74 10000
73 77 5000
73 79 9998
73 88 10000
74 10 8
74 24 8
74 39 10000
74 42 3
74 48 2
74 54 9997
75 3 9998
75 4 2
75 7 8
75 10 9998
75 17 10000
75 21 2
75 29 2
75 74 3
76 6 9999
76 16 5000
76 23 8
76 29 3
76 37 5
76 43 5000
76 45 1
76 50 9999
76 57 9998
76 91 2
76 92 9998
77 25 5
77 34 8
77 44 5000
77 48 9999
77 49 9999
77 55 2
77 65 9999
77 91 1
78 0 9997
78 4 9998
78 44 9997
78 57 8
78 61 2
78 66 5
78 68 9999
78 76 5
78 84 5
78 88 3
