99 98
0 1 371
1 2 197
2 3 846
3 4 674
4 5 775
5 6 488
6 7 133
7 8 702
8 9 59
9 10 298
10 11 174
11 12 168
12 13 613
13 14 659
14 15 345
15 16 788
16 17 855
17 18 206
18 19 495
19 20 524
20 21 140
21 22 932
22 23 325
23 24 54
24 25 203
25 26 9
26 27 141
27 28 898
28 29 727
29 30 304
30 31 915
31 32 97
32 33 191
33 34 450
34 35 461
35 36 966
36 37 938
37 38 284
38 39 357
39 40 688
40 41 272
41 42 532
42 43 856
43 44 886
44 45 190
45 46 200
46 47 363
47 48 735
48 49 96
49 50 858
50 51 949
51 52 237
52 53 479
53 54 964
54 55 291
55 56 683
56 57 663
57 58 432
58 59 270
59 60 389
60 61 427
61 62 184
62 63 177
63 64 618
64 65 324
65 66 328
66 67 584
67 68 953
68 69 613
69 70 631
70 71 640
71 72 885
72 73 162
73 74 495
74 75 460
75 76 43
76 77 385
77 78 824
78 79 468
79 80 482
80 81 681
81 82 107
82 83 409
83 84 851
84 85 761
85 86 700
86 87 533
87 88 424
88 89 823
89 90 493
90 91 813
91 92 249
92 93 677
93 94 680
94 95 867
95 96 691
96 97 8
97 98 140
