100 261
0 1 8
0 10 10000
0 11 9999
1 2 9997
1 11 2
1 12 10000
2 3 9999
2 12 1
2 13 1
3 4 1
3 13 9997
3 14 10000
4 5 1
4 14 10000
4 15 2
5 6 9999
5 15 8
5 16 9997
6 7 9999
6 16 2
6 17 9997
7 8 2
7 17 5000
7 18 10000
8 9 10000
8 18 8
8 19 9999
9 19 8
10 11 5000
10 20 5000
10 21 10000
11 12 2
11 21 5000
11 22 8
12 13 1
12 22 8
12 23 8
13 14 9999
13 23 5000
13 24 8
14 15 2
14 24 10000
14 25 2
15 16 2
15 25 5000
15 26 9999
16 17 9997
16 26 2
16 27 8
17 18 8
17 27 9999
17 28 5000
18 19 9997
18 28 1
18 29 5000
19 29 1
20 21 8
20 30 5000
20 31 5000
21 22 2
21 31 1
21 32 5000
22 23 10000
22 32 5000
22 33 9999
23 24 10000
23 33 2
23 34 9999
24 25 9997
24 34 9997
24 35 1
25 26 9997
25 35 1
25 36 10000
26 27 8
26 36 10000
26 37 9999
27 28 10000
27 37 5000
27 38 10000
28 29 8
28 38 1
28 39 5000
29 39 5000
30 31 1
30 40 10000
30 41 9997
31 32 8
31 41 1
31 42 1
32 33 1
32 42 1
32 43 5000
33 34 10000
33 43 5000
33 44 8
34 35 9999
34 44 8
34 45 1
35 36 8
35 45 10000
35 46 1
36 37 5000
36 46 9999
36 47 10000
37 38 10000
37 47 9997
37 48 9999
38 39 5000
38 48 10000
38 49 9999
39 49 10000
40 41 2
40 50 8
40 51 1
41 42 8
41 51 1
41 52 9997
42 43 9997
42 52 1
42 53 9999
43 44 9999
43 53 1
43 54 2
44 45 9999
44 54 10000
44 55 9997
45 46 8
45 55 8
45 56 9997
46 47 5000
46 56 10000
46 57 9997
47 48 2
47 57 9997
47 58 8
48 49 9999
48 58 2
48 59 10000
49 59 8
50 51 5000
50 60 2
50 61 10000
51 52 9997
51 61 9997
51 62 10000
52 53 10000
52 62 9997
52 63 8
53 54 1
53 63 9999
53 64 10000
54 55 2
54 64 9999
54 65 2
55 56 10000
55 65 5000
55 66 8
56 57 10000
56 66 9999
56 67 5000
57 58 5000
57 67 9997
57 68 2
58 59 9999
58 68 2
58 69 1
59 69 9997
60 61 1
60 70 5000
60 71 9999
61 62 5000
61 71 9999
61 72 9999
62 63 1
62 72 8
62 73 9997
63 64 10000
63 73 9999
63 74 5000
64 65 1
64 74 8
64 75 9997
65 66 2
65 75 2
65 76 8
66 67 5000
66 76 9997
66 77 5000
67 68 5000
67 77 2
67 78 8
68 69 2
68 78 9997
68 79 1
69 79 10000
70 71 1
70 80 1
70 81 8
71 72 2
71 81 5000
71 82 1
72 73 9997
72 82 9997
72 83 9999
73 74 5000
73 83 9997
73 84 1
74 75 8
74 84 8
74 85 5000
75 76 1
75 85 9997
75 86 1
76 77 8
76 86 8
76 87 1
77 78 2
77 87 10000
77 88 10000
78 79 9997
78 88 5000
78 89 2
79 89 5000
80 81 10000
80 90 1
80 91 1
81 82 10000
81 91 1
81 92 5000
82 83 2
82 92 9999
82 93 9997
83 84 9997
83 93 8
83 94 8
84 85 10000
84 94 10000
84 95 8
85 86 2
85 95 2
85 96 10000
86 87 8
86 96 9997
86 97 10000
87 88 8
87 97 5000
87 98 1
88 89 1
88 98 1
88 99 10000
89 99 5000
90 91 10000
91 92 10000
92 93 8
93 94 5000
94 95 10000
95 96 5000
96 97 8
97 98 5000
98 99 9997
