36 85
0 1 34
0 6 197
0 7 127
1 2 0
1 7 60
1 8 196
2 3 123
2 8 140
2 9 161
3 4 117
3 9 156
3 10 117
4 5 115
4 10 197
4 11 169
5 11 28
6 7 195
6 12 43
6 13 2
7 8 159
7 13 98
7 14 170
8 9 63
8 14 167
8 15 117
9 10 42
9 15 156
9 16 160
10 11 3
10 16 22
10 17 1
11 17 189
12 13 78
12 18 139
12 19 169
13 14 73
13 19 11
13 20 28
14 15 34
14 20 78
14 21 119
15 16 101
15 21 194
15 22 24
16 17 70
16 22 172
16 23 20
17 23 14
18 19 23
18 24 124
18 25 14
19 20 193
19 25 187
19 26 112
20 21 59
20 26 179
20 27 78
21 22 169
21 27 133
21 28 33
22 23 170
22 28 121
22 29 6
23 29 47
24 25 175
24 30 71
24 31 9
25 26 154
25 31 105
25 32 20
26 27 22
26 32 156
26 33 49
27 28 46
27 33 25
27 34 42
28 29 67
28 34 191
28 35 13
29 35 90
30 31 27
31 32 114
32 33 32
33 34 139
34 35 50
