100 300
0 2 9997
0 77 8
0 98 10000
1 9 10000
1 13 2
1 53 8
1 57 5000
2 5 10000
2 35 1
2 71 2
2 82 10000
2 84 1
3 49 10000
3 65 2
3 69 2
3 85 5000
3 88 10000
3 93 10000
4 78 10000
4 81 8
4 98 10000
5 0 5000
5 4 10000
5 24 9999
5 39 1
5 48 8
5 52 8
5 57 8
6 54 9997
6 69 9997
6 74 8
7 19 10000
7 48 9997
7 50 8
7 90 9997
7 91 5000
8 25 5000
8 35 9999
8 39 2
8 63 1
8 77 10000
9 14 9999
9 69 10000
9 84 5000
12 39 8
12 73 2
13 84 10000
13 98 10000
14 12 2
14 44 1
15 38 5000
15 50 9997
16 91 9999
16 93 10000
17 10 9999
17 18 9999
17 34 8
17 52 2
17 85 5000
18 52 10000
18 58 9999
18 82 2
18 95 8
19 24 10000
19 30 8
20 14 1
20 91 1
21 65 8
22 23 9999
22 74 5000
22 83 9997
23 20 9999
23 39 10000
23 68 1
24 27 9997
24 48 9999
25 16 5000
25 69 9997
26 25 5000
27 20 1
27 22 1
27 73 1
27 79 8
28 75 9997
29 26 1
29 74 2
30 35 5000
31 17 9997
31 28 8
32 16 8
32 44 9997
32 98 5000
33 0 9997
33 30 9999
34 6 1
34 20 5000
34 45 10000
34 56 1
35 83 2
35 87 9997
35 95 9999
36 30 8
36 47 8
36 64 9997
37 18 10000
38 10 5000
39 6 5000
39 7 10000
39 43 5000
40 39 5000
40 41 1
41 26 9999
41 62 10000
42 32 8
42 52 1
42 68 9999
42 88 2
43 38 9999
43 47 10000
44 24 8
44 59 9997
44 60 9997
44 88 8
44 89 10000
45 57 9997
45 77 2
46 68 1
46 77 8
47 5 2
47 8 9999
47 12 5000
47 56 5000
47 62 2
47 66 8
47 67 5000
48 13 10000
48 34 2
48 77 9997
48 79 1
49 37 9997
49 45 2
49 60 2
49 66 9997
49 78 1
50 12 5000
50 17 8
51 12 2
51 17 9997
51 48 9999
52 4 9997
52 7 9999
52 19 9999
52 74 1
52 86 1
52 98 8
53 37 9997
53 66 10000
53 79 9999
54 25 5000
54 40 2
54 41 9999
55 23 9997
55 43 1
55 76 8
56 8 2
56 54 9997
56 82 2
57 75 9999
58 26 1
59 22 2
59 58 9999
59 68 5000
59 73 8
59 80 9999
60 50 1
60 82 10000
60 83 5000
61 2 2
61 11 8
61 43 9997
61 47 8
62 79 5000
62 87 5000
62 88 9997
63 16 2
63 49 10000
64 15 1
64 80 1
65 14 10000
65 99 1
66 3 8
66 44 8
66 50 8
66 97 9997
67 28 9999
67 32 1
68 18 9997
68 19 9999
69 0 8
69 4 10000
69 13 5000
69 58 10000
70 52 10000
70 61 5000
71 52 9997
72 0 9999
72 56 2
72 89 9997
73 9 10000
73 16 5000
73 62 9997
74 64 1
75 41 10000
75 61 10000
75 87 5000
76 48 9999
77 47 10000
77 62 8
77 70 9999
78 6 1
78 20 8
78 42 1
78 84 2
79 29 8
79 75 10000
80 55 1
80 77 8
80 95 5000
80 98 1
81 23 2
81 51 9999
81 52 1
81 79 9997
81 90 1
82 25 9997
82 31 9997
82 49 5000
82 52 2
82 59 5000
82 73 2
83 5 9997
83 34 9999
83 44 1
84 4 9999
84 6 9997
84 21 10000
84 36 10000
84 42 2
84 54 1
84 55 5000
85 6 2
85 42 10000
85 43 10000
85 44 10000
85 59 1
85 92 8
86 14 2
86 28 8
86 32 9999
86 49 5000
86 53 8
87 21 10000
88 38 2
88 48 8
89 28 9997
89 37 5000
89 50 1
89 54 10000
89 96 2
89 98 9999
90 35 5000
90 68 2
90 79 8
90 80 5000
90 97 5000
91 6 9997
91 43 2
92 21 9997
92 54 8
92 57 8
93 15 2
93 24 2
94 79 9999
95 4 8
95 14 5000
95 32 9999
96 3 1
96 64 5000
96 68 9997
96 70 8
96 77 1
96 88 2
97 4 8
97 12 9999
97 69 9999
98 59 8
98 70 1
98 90 2
99 48 1
99 51 5000
