65 555
0 12 35
0 15 99
0 21 14
0 22 66
0 33 39
0 34 29
0 37 59
0 60 5
0 62 99
1 0 11
1 3 27
1 5 46
1 24 57
1 35 30
1 52 24
1 53 41
1 55 26
2 12 44
2 22 87
2 34 72
2 49 77
2 56 10
2 57 14
2 59 87
2 61 51
2 64 70
3 19 77
3 29 75
3 54 43
3 55 49
3 61 10
4 0 58
4 2 93
4 5 10
4 8 55
4 29 68
4 32 24
4 36 94
4 42 23
4 44 56
4 54 89
5 2 94
5 10 44
5 14 89
5 33 0
5 34 7
5 44 33
5 49 38
6 2 49
6 12 87
6 13 97
6 21 69
6 30 59
6 43 42
6 44 5
6 48 29
6 58 98
6 59 58
7 8 34
7 27 77
7 28 11
7 34 88
7 41 9
7 54 62
7 61 87
7 62 17
8 1 54
8 19 51
8 26 4
8 29 42
8 49 37
8 52 60
8 61 48
9 0 44
9 2 23
9 4 87
9 8 93
9 12 22
9 17 2
9 29 62
9 40 5
9 45 23
9 56 96
10 7 100
10 11 11
10 20 32
10 21 85
10 24 41
10 30 56
10 36 43
10 46 93
10 48 7
10 51 16
10 57 50
11 6 16
11 8 10
11 32 82
11 36 68
11 46 86
11 62 29
11 64 51
12 5 69
12 10 2
12 16 38
12 18 49
12 22 93
12 23 81
12 25 67
12 32 27
12 38 72
12 42 51
12 44 99
12 48 51
12 51 19
12 53 43
12 56 12
12 59 79
12 60 69
13 4 24
13 18 49
13 19 96
13 20 29
13 27 26
13 30 15
13 47 50
13 64 13
14 6 86
14 19 19
14 22 9
14 24 67
14 42 73
14 45 40
14 60 47
14 63 35
15 1 19
15 16 50
15 18 54
15 23 6
15 29 30
15 44 52
15 47 92
15 54 82
16 17 37
16 26 74
16 34 48
16 44 12
16 47 93
16 48 43
16 49 79
16 57 9
16 61 58
16 64 92
17 13 49
17 23 94
17 26 11
17 33 0
17 42 94
17 52 48
17 56 55
18 9 31
18 32 95
18 34 56
18 39 14
18 40 80
18 42 8
18 56 58
18 58 57
19 2 70
19 6 7
19 11 28
19 17 0
