100 1000
0 9 595
0 11 672
0 15 414
0 35 340
0 45 420
0 53 189
0 60 274
0 79 714
0 86 196
1 4 486
1 14 465
1 17 503
1 25 228
1 28 614
1 55 427
1 57 930
1 73 713
1 81 608
1 83 808
1 86 785
1 87 470
1 89 986
1 92 402
1 95 329
2 7 372
2 41 647
2 68 766
2 76 473
2 86 327
2 97 193
2 99 82
3 0 426
3 8 444
3 16 518
3 17 633
3 20 911
3 25 755
3 33 773
3 41 695
3 55 72
3 56 859
3 69 687
3 70 552
3 85 644
3 94 425
3 97 986
4 2 56
4 39 718
4 53 656
4 65 970
4 70 571
4 72 355
4 92 492
4 94 501
5 1 162
5 4 975
5 6 569
5 10 579
5 17 324
5 40 268
5 50 665
5 64 342
5 91 329
6 0 576
6 3 254
6 11 707
6 16 191
6 26 721
6 45 146
6 58 158
6 61 957
6 65 465
6 79 999
6 89 484
6 95 788
7 21 138
7 24 236
7 27 975
7 64 296
7 68 708
8 12 837
8 13 491
8 14 697
8 20 146
8 24 792
8 29 690
8 37 433
8 48 121
8 69 105
8 71 768
8 72 539
8 91 323
9 14 842
9 22 687
9 29 276
9 46 888
9 50 983
9 51 702
9 55 21
9 59 237
9 71 954
9 98 532
10 0 40
10 2 371
10 16 226
10 33 982
10 35 495
10 37 152
10 38 56
10 69 652
10 80 832
10 88 146
11 1 180
11 29 437
11 72 446
11 94 987
11 95 409
12 14 11
12 16 381
12 17 633
12 43 447
12 44 855
12 65 231
12 69 625
12 71 269
12 74 604
12 77 357
13 36 774
13 42 906
13 49 925
13 56 474
13 67 277
13 70 600
13 71 593
13 87 706
13 88 259
13 91 108
13 95 643
14 0 229
14 16 642
14 25 890
14 52 239
14 57 224
14 75 519
14 79 974
14 81 218
14 85 10
14 94 309
14 99 537
15 22 461
15 31 615
15 38 569
15 40 370
15 42 860
15 52 989
15 53 902
15 60 283
15 64 379
15 85 544
15 99 408
16 13 419
16 26 486
16 32 801
16 42 600
16 45 83
16 46 16
16 49 711
16 59 188
16 60 860
16 63 229
16 66 885
16 67 173
16 84 389
16 92 20
16 99 387
17 4 512
17 8 825
17 18 196
17 19 994
17 22 97
17 23 243
17 66 289
17 80 120
17 85 923
17 96 13
18 3 444
18 9 81
18 10 949
18 20 145
18 23 857
18 70 424
18 85 496
19 2 9
19 3 161
19 12 237
19 32 53
19 34 385
19 35 884
19 40 928
19 69 43
19 75 14
19 76 828
19 84 533
20 2 802
20 9 61
20 29 814
20 34 245
20 38 403
20 51 130
20 52 909
20 56 519
20 58 59
20 62 272
20 70 17
20 80 94
20 90 802
20 91 809
21 22 677
21 29 961
21 53 854
21 71 204
21 74 670
21 76 568
21 77 887
22 2 761
22 4 909
22 7 367
22 16 840
22 30 669
22 52 39
22 61 478
22 67 144
22 72 860
22 74 763
22 76 840
22 81 774
22 98 887
23 1 413
23 7 127
23 13 900
23 15 90
23 27 730
23 37 856
23 38 813
23 41 857
23 57 654
23 60 405
23 66 57
23 71 907
23 99 533
24 26 795
24 37 353
24 40 524
24 65 689
24 84 442
24 96 848
25 0 548
25 17 29
25 60 170
25 85 649
25 86 913
25 90 530
25 91 287
25 92 57
26 5 369
26 7 849
26 14 261
26 47 896
26 59 342
26 60 993
26 74 683
27 8 956
27 12 773
27 16 129
27 30 761
27 31 166
27 45 101
27 52 817
27 54 6
27 66 772
27 76 271
27 82 644
27 97 355
28 6 361
28 9 753
28 11 545
28 23 786
28 33 20
28 38 929
28 69 869
28 72 980
28 82 601
29 13 355
29 30 817
29 36 29
29 54 757
29 70 437
29 90 496
29 93 442
29 95 196
30 9 555
30 17 493
30 18 201
30 32 611
30 35 612
30 47 949
30 56 547
30 57 508
30 77 818
31 6 232
31 23 843
31 24 313
31 36 767
31 38 661
31 44 664
31 60 443
31 61 365
31 75 271
31 93 256
31 96 444
32 10 419
32 18 768
32 27 3
32 37 200
32 44 658
32 46 878
32 52 940
32 54 658
32 71 8
32 96 836
32 98 623
33 0 333
33 6 500
33 13 289
33 18 575
33 27 514
33 53 291
33 62 761
33 64 912
33 71 676
33 74 384
34 0 401
34 17 650
34 37 685
34 46 810
34 95 120
35 9 539
35 29 479
35 32 511
35 36 681
35 43 291
35 49 499
35 54 690
35 55 918
35 62 568
35 99 405
36 7 88
36 24 47
36 25 667
36 45 382
36 54 468
36 55 58
36 57 572
36 87 72
36 94 332
36 97 910
37 4 328
37 11 236
37 17 298
37 27 389
37 36 802
37 38 923
37 48 998
37 53 516
37 55 268
37 56 272
37 57 383
37 68 538
37 75 392
37 84 402
38 11 967
38 13 2
38 42 658
38 46 884
38 49 9
38 53 803
38 63 217
38 65 375
38 78 771
38 84 452
38 89 941
38 93 700
39 0 606
39 10 877
39 28 395
39 33 818
39 34 632
39 44 624
39 48 402
